text,type,label
"There was no particular menace in his voice, even something resembling concern.",narration,0
"When everyone hesitated, the gentle-voiced slave answered:",narration,0
"""It's nothing, sir. We are just all tired and cold. Especially our young friend over there. This journey is truly too hard for someone that young.""",speech,0
The soldier looked at Sunny with pity.,narration,0
'What are you looking at? You're not much older than me!' Sunny thought.,narration,0
"Of course, he didn't say anything out loud.",narration,0
The soldier sighed and took a flask from his belt before extending it to Sunny.,narration,0
"""Bear with it a little more, child. We will stop for the night soon. For now, here, drink some water.""",speech,0
'Child? Child?!',speech,0
"Due to his thin body and small stature, both caused by malnourishment, Sunny was often mistaken for someone younger. Usually, he didn't hesitate to use it to his advantage, but now, for some reason, being called a child really irked him.",narration,0
"Still, he was really thirsty.",narration,0
"He was just about to take the flask when a whip cracked in the air, and suddenly Sunny was in a world of pain. He stumbled, once again pulling on the chain and causing the shifty slave behind him to curse.",narration,0
"Another soldier, this one older and angrier, stopped his horse a few steps back. The whip that sliced the back of Sunny's tunic open and drew blood belonged to him. Without even glancing at the slaves, the older soldier pierced his younger colleague with a disdainful glare.",narration,0
"""What do you think you're doing?""",speech,0
The young soldier's face darkened.,narration,0
"""I was just giving this boy some water.""",speech,0
"""He'll receive water with the rest of them once we camp!""",speech,0
"""But…""",speech,0
"""Shut your mouth! These slaves are not your friends. Understood? They're not even people. Treat them like people and they'll begin imagining things.""",speech,0
"The young soldier looked at Sunny, then lowered his head and put the flask back on his belt.",narration,0
"""Don't let me catch you making friends with slaves again, newbie. Or next time it will be your back tasting my whip!""",speech,0
"As if to illustrate his intention, the older soldier cracked his whip in the air and rode past them, radiating threat and anger. Sunny watched him go with well-concealed malice.",narration,0
"'I don't know how, but I will watch you die first.'",narration,0
"Then he turned his head and glanced in the direction of the younger soldier, who was falling behind with his head still lowered.",narration,0
"'And you, second.'",speech,0
