text,type,label
Sunny shrugged.,narration,0
"""A week ago?""",speech,0
The officer became visibly paler.,narration,0
"""Shit.""",speech,0
"Then, with a hurried motion, he pressed a button on his terminal and bellowed:",narration,0
"""Attention! Code Black in the lobby! I repeat! CODE BLACK!""",speech,0
***,narration,0
"The Nightmare Spell first appeared in the world a few decades ago. Back then, the planet was just starting to recover from a series of devastating natural disasters and subsequent resource wars.",narration,0
"At first, the emergence of a new disease that caused millions of people to complain about constant fatigue and sleepiness did not attract a lot of attention. But when they started to fall into an unnatural slumber, with no sign of waking up even days later, governments finally panicked. Of course, by then it was already too late — not that an early response could have made any difference.",narration,0
"When the infected started dying in their sleep, their dead bodies turning into monsters, no one was ready. Nightmare Creatures quickly overwhelmed national militaries, plunging the world into complete chaos.",narration,0
"No one knew what the Spell was, what powers it possessed, and how to fight it.",narration,0
"In the end, it was the Awakened — those who survived the first trials of the Spell and came back alive — who put a stop to its rampage. Armed with miraculous abilities earned in their Nightmares, they restored peace and created a semblance of a new order.",narration,0
"Of course, it was only the first of the catastrophes brought upon by the Spell. But as far as Sunny was concerned, none of it had anything to do with him — not until a few days ago, that is, when he first started having trouble with staying awake.",narration,0
"For an average person, being chosen by the Spell was as much of a risk as an opportunity. Kids learned survival skills and fighting techniques in school, on the off chance of being infected. Well-to-do families hired private tutors to train their children in all sorts of martial arts. Those from the Awakened clans even had access to powerful legacies, wielding inherited Memories and Echoes in their first visit to the Dream Realm.",narration,0
"The richer your family was, the better your chances of surviving and becoming an Awakened were.",narration,0
"But for Sunny, who had no family to speak of and spent most of his time scrounging for food instead of going to school, being chosen by the Spell presented no opportunity at all. To him, it was basically a death sentence.",narration,0
***,narration,0
"A few minutes later, Sunny was yawning while several policemen were busy putting him in restraints. Soon he was fastened into a bulky chair that looked like a weird mix between a hospital bed and a torture device. The room they were in was situated in the basement of the police station, with thick armored walls and a formidable-looking vault door. Other officers were standing near the walls, with automatic rifles in their hands and grim expressions on their faces.",narration,0
Sunny did not particularly care about them. The only thing he could think about was how much he wanted to sleep.,narration,0
"Finally, the vault door opened, and a gray-haired policeman walked in. He had a seasoned face and stern eyes, looking like someone who had seen a lot of terrible things in his life. After checking the restraints, the policeman glanced quickly on his wristwatch and then turned to Sunny:",narration,0
"""What's your name, kid?""",speech,0
"Sunny blinked a few times, trying to concentrate, then shifted uncomfortably.",narration,0
"""Sunless.""",speech,0
The old policeman raised an eyebrow.,narration,0
"""Sunless? That's a strange name.""",speech,0
"Sunny tried to shrug, but found himself unable to move.",narration,0
"""What's so strange about it? At least I have a name. Back in the outskirts, not everyone even gets one.""",speech,0
"After another yawn, he added:",narration,0
"""It's because I was born during a solar eclipse. My mom had a poetic soul, you see.""",speech,0
"That's why he got this weird-ass name and his little sister was called Rain… back when she still lived with them, at least. Whether it was the result of poetic imagination or simple laziness, he did not know.",narration,0
The old policeman grunted.,narration,0
"""Do you want me to contact your family?""",speech,0
Sunny simply shook his head.,narration,0
"""There's no one. Don't bother.""",speech,0
"For a second, there was a dark look on the policeman's face. Then his expression turned serious.",narration,0
"""Alright, Sunless. How long can you stay awake?""",speech,0
"""Uh… not long.""",speech,0
The policeman sighed.,narration,0
"""Then we don't have time for the full procedure. Try to resist for as long as you can and listen to me very carefully. Okay?""",speech,0
"Not waiting for a response, he added:",narration,0
"""How much do you know about the Nightmare Spell?""",speech,0
Sunny gave him a questioning look.,narration,0
"""As much as anyone, I guess? Who doesn't know about the Spell?""",speech,0
"""Not the fancy stuff you see in dramas and hear in the propaganda broadcasts. I mean how much do you really know?""",speech,0
That was a hard question to answer.,narration,0
"""Don't I just go into the Dream Realm, kill a few monsters to complete the First Nightmare, receive magic powers and become an Awakened?""",speech,0
The old policeman shook his head.,narration,0
"""Listen carefully. Once you fall asleep, you will be transported inside your First Nightmare. Nightmares are trials created by the Spell. Once inside, you will meet monsters, sure, but you will also meet people. Remember: they are not real. They're just illusions conjured up to test you.""",speech,0
"""How do you know?""",speech,0
The policeman just stared at him.,narration,0
"""I mean, no one understands what the Spell is and how it works, right? So how do you know that they're not real?""",speech,0
"""You might have to kill them, kid. So do yourself a favor and just think about them as illusions.""",speech,0
"""Oh.""",speech,0
"The old policeman waited for a second, then nodded and continued.",narration,0
"""A lot of things about the First Nightmare depend on luck. Generally, it shouldn't be overwhelmingly hard. The situation you're in, the tools you have at your disposal and the creatures you have to defeat should be within the range of your abilities, at least. After all, the Spell sets up trials, not executions. You're a bit disadvantaged due to… well… your circumstances. But kids from the outskirts are tough. Don't give up on yourself just yet.""",speech,0
"""Uh-huh.""",speech,0
Sunny was getting more and more sleepy. It was becoming hard to follow the conversation.,narration,0
"""About those ""magic powers"" you mentioned… you will indeed receive them if you survive until the end of the Nightmare. What those powers will be, exactly, depends on your natural affinity as well what you do during the trial. But some of it will be at your disposal right from the start…""",mix,1
The voice of the old policeman sounded more and more distant. Sunny's eyelids were so heavy that he was struggling to keep his eyes open.,narration,0
"""Remember: the first thing you must do once inside the Nightmare is to check your Attributes and your Aspect. If you get a combat-oriented Aspect, something like a Swordsman or an Archer, things will be easier. If it is reinforced by a physical Attribute, then that's even better. Combat Aspects are the most common, so the probability of receiving one is high.""",speech,0
The armored room was growing dimmer.,narration,0
"""If you're unlucky and your Aspect has nothing to do with combat, don't despair. Sorcery and utility Aspects are useful in their own ways, you'll just have to be smart about it. There are really no useless Aspects. Well, almost. So just do anything in your power to survive.""",speech,0
"""If you survive, you will be halfway to becoming an Awakened. But if you die, you'll open a gate for a Nightmare Creature to appear in the real world. Which means that my colleagues and I will have to deal with it. So… please don't die, Sunless.""",speech,0
"Already half-asleep, Sunny felt a bit touched by the policeman's words.",narration,0
"""Or, at least, try to not die right away. The nearest Awakened won't be able to get here for a few hours, so we would really appreciate it if you don't make us fight that thing ourselves…""",speech,0
'What?',speech,0
"With that last thought, Sunny finally slipped into a deep slumber.",narration,0
Everything became black.,narration,0
"And then, in the darkness, a faintly familiar voice rang:",narration,0
[Aspirant! Welcome to the Nightmare Spell. Prepare for your First Trial…],speech,0
