text,type,label
"Stepping close, he threw the chain around the monster's shoulders and pulled, pinning its hands to its body. Before the creature, still slow and groggy from its transformation, could properly react, Sunny wrapped the chain around it several times, barely saving his face from being bitten off by the creature's terrifying maw.",narration,0
"The good thing was, the monster couldn't move its hands now.",narration,0
"The bad thing was, the length of the chain he used to immobilize it was gone, leaving almost no distance between them.",narration,0
"""You two!"" Sunny screamed, addressing his two fellow slaves. ""Pull on that chain as though your lives depend on it!""",mix,1
Because they were.,narration,0
"The shifty slave and the scholar gaped at him and then, understanding what he was thinking, started to move. Grabbing the chain from the opposite directions, they pulled as hard as they could, tightening its grip on the monster and not letting it shake loose.",narration,0
'Great!' Sunny thought.,mix,1
"The monster bulged its muscles, trying to break free. The chain creaked, caught on the bone spikes, as though slowly breaking apart.",narration,0
'Not so great!',speech,0
"Without wasting any more time, he threw his hands in the air and caught the creature's neck with the short, thinner chain connecting his shackles together. Then he circled the monster with a quick step and pulled, ending up back to back with it — as far away from its maw as he could.",narration,0
"Sunny knew that he wasn't strong enough to strangle a man with his bare hands — let alone a weird, terrifying mutant like the one trying to eat him. But now, using his own back as a lever and the weight of his whole body to pull the shackles down, he at least stood a chance.",narration,0
"He pulled down with all his might, feeling the monster's body pressing against him, bone spikes brushing against his skin. The monster continued to struggle, clicking loudly and trying to break the chain tying him down apart.",narration,0
Now it was just a question of what would break first — the chain or the monster itself.,narration,0
"'Die! Die, you bastard!'",speech,0
"Sweat and blood were rolling down Sunny's face as he was pulling, and pulling, and pulling down with as much force as he could muster.",narration,0
"Every second felt like an eternity. His strength and stamina — what little he had to begin with — were quickly running out. His wounded back, wrists, and muscles pierced by the bone spikes were in agony.",narration,0
"And then, finally, Sunny felt the monster's body go limp.",narration,0
"A moment later, a faintly familiar voice rang in the air.",narration,0
It was the most beautiful sound he had ever heard.,narration,0
"[You have slain a dormant beast, Mountain King's Larva.]",speech,0
